Competitor Component Name (1890),Competitor CVEs,Confidence,Sonatype Component Name (3279),Sonatype CVEs,Sonatype Occurence Path
vaadin-core-shrinkwrap:14.10.4,,10,@vaadin/vaadin-core-shrinkwrap:14.10.4,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-core-shrinkwrap@14.10.4
vaadin-custom-field:1.3.1,,10,@vaadin/vaadin-custom-field:1.3.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-custom-field@1.3.1
vaadin-date-picker:4.5.0,,10,@vaadin/vaadin-date-picker:4.5.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-date-picker@4.5.0
vaadin-date-time-picker:1.4.0,,10,@vaadin/vaadin-date-time-picker:1.4.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-date-time-picker@1.4.0
vaadin-development-mode-detector:2.0.6,,10,@vaadin/vaadin-development-mode-detector:2.0.6,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-development-mode-detector@2.0.6
vaadin-element-mixin:2.4.2,,10,@vaadin/vaadin-element-mixin:2.4.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-element-mixin@2.4.2
vaadin-item:2.3.0,,10,@vaadin/vaadin-item:2.3.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-item@2.3.0
vaadin-list-box:1.4.0,,10,@vaadin/vaadin-list-box:1.4.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-list-box@1.4.0
vaadin-list-mixin:2.5.1,,10,@vaadin/vaadin-list-mixin:2.5.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-list-mixin@2.5.1
vaadin-login:1.2.0,,10,@vaadin/vaadin-login:1.2.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-login@1.2.0
vaadin-lumo-styles:1.6.1,,10,@vaadin/vaadin-lumo-styles:1.6.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-lumo-styles@1.6.1
vaadin-material-styles:1.3.2,,10,@vaadin/vaadin-material-styles:1.3.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-material-styles@1.3.2
vaadin-messages:1.0.2,,10,@vaadin/vaadin-messages:1.0.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-messages@1.0.2
vaadin-overlay:3.5.1,,10,@vaadin/vaadin-overlay:3.5.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-overlay@3.5.1
vaadin-text-field:2.9.2,,10,@vaadin/vaadin-text-field:2.9.2,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-text-field@2.9.2
vaadin-themable-mixin:1.6.1,,10,@vaadin/vaadin-themable-mixin:1.6.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-themable-mixin@1.6.1
