Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
@react-native-community/async-storage:1.11.0,,10,@react-native-community/async-storage:1.11.0,,./yarn.lock/@react-native-community\async-storage:1.11.0
@react-native-community/cli-debugger-ui:4.9.0,,10,@react-native-community/cli-debugger-ui:4.9.0,,./yarn.lock/@react-native-community\cli-debugger-ui:4.9.0
@react-native-community/cli-hermes:4.13.0,,10,@react-native-community/cli-hermes:4.13.0,,./yarn.lock/@react-native-community\cli-hermes:4.13.0
@react-native-community/cli-platform-android:4.13.0,,10,@react-native-community/cli-platform-android:4.13.0,,./yarn.lock/@react-native-community\cli-platform-android:4.13.0
@react-native-community/cli-platform-ios:4.13.0,,10,@react-native-community/cli-platform-ios:4.13.0,,./yarn.lock/@react-native-community\cli-platform-ios:4.13.0
@react-native-community/cli-server-api:4.13.0,,10,@react-native-community/cli-server-api:4.13.0,,./yarn.lock/@react-native-community\cli-server-api:4.13.0
@react-native-community/cli-tools:4.13.0,,10,@react-native-community/cli-tools:4.13.0,,./yarn.lock/@react-native-community\cli-tools:4.13.0
@react-native-community/cli-types:4.10.1,,10,@react-native-community/cli-types:4.10.1,,./yarn.lock/@react-native-community\cli-types:4.10.1
@react-native-community/cli:4.13.0,,10,@react-native-community/cli:4.13.0,,./yarn.lock/@react-native-community\cli:4.13.0
@react-native-community/datetimepicker:3.0.3,,10,@react-native-community/datetimepicker:3.0.3,,./yarn.lock/@react-native-community\datetimepicker:3.0.3
@react-native-community/masked-view:0.1.10,,10,@react-native-community/masked-view:0.1.10,,./yarn.lock/@react-native-community\masked-view:0.1.10
@react-native-community/netinfo:5.7.0,,10,@react-native-community/netinfo:5.7.0,,./yarn.lock/@react-native-community\netinfo:5.7.0
@react-native-community/picker:1.6.0,,10,@react-native-community/picker:1.6.0,,./yarn.lock/@react-native-community\picker:1.6.0
@react-native-community/picker:1.8.1,,10,@react-native-community/picker:1.8.1,,./yarn.lock/@react-native-community\picker:1.8.1
@react-native-community/progress-bar-android:1.0.4,,10,@react-native-community/progress-bar-android:1.0.4,,./yarn.lock/@react-native-community\progress-bar-android:1.0.4
@react-native-community/progress-view:1.2.3,,10,@react-native-community/progress-view:1.2.3,,./yarn.lock/@react-native-community\progress-view:1.2.3
@react-native-community/push-notification-ios:1.4.1,,10,@react-native-community/push-notification-ios:1.4.1,,./yarn.lock/@react-native-community\push-notification-ios:1.4.1
@react-native-firebase/analytics:10.8.0,,10,@react-native-firebase/analytics:10.8.0,,./yarn.lock/@react-native-firebase\analytics:10.8.0
@react-native-firebase/app:10.8.0,,10,@react-native-firebase/app:10.8.0,,./yarn.lock/@react-native-firebase\app:10.8.0
@react-native-firebase/crashlytics:10.8.0,,10,@react-native-firebase/crashlytics:10.8.0,,./yarn.lock/@react-native-firebase\crashlytics:10.8.0
@react-navigation/bottom-tabs:5.10.4,,10,@react-navigation/bottom-tabs:5.10.4,,./yarn.lock/@react-navigation\bottom-tabs:5.10.4
@react-navigation/core:5.13.4,,10,@react-navigation/core:5.13.4,,./yarn.lock/@react-navigation\core:5.13.4
