Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
,,,Jinja2:(py2.py3-none-any):2.10.3:(.whl),CVE-2020-28493,Tusimple-bom.xml/pkg:pypi\jinja2@2.10.3?extension=whl&qualifier=py2.py3-none-any:4111b038c0fc0870dcb1
,,,Jinja2:2.10.3:(.tar.gz),CVE-2020-28493,Tusimple-bom.xml/pkg:pypi\jinja2@2.10.3?extension=tar.gz:fbb6a03ad01b766d8166
,,,MarkupSafe:(cp27-cp27m-macosx_10_6_intel):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27m-macosx_10_6_intel:ccd1caaa85465dbf9247
,,,MarkupSafe:(cp27-cp27m-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27m-manylinux1_i686:4f4eb85d71a7616515f1
,,,MarkupSafe:(cp27-cp27m-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27m-manylinux1_x86_64:f801a39744335d399969
,,,MarkupSafe:(cp27-cp27m-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27m-win32:f86711ea9d01f3cc0b64
,,,MarkupSafe:(cp27-cp27m-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27m-win_amd64:21493d35f5eca721c3bb
,,,MarkupSafe:(cp27-cp27mu-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27mu-manylinux1_i686:9517fdf66dfa8fe61e0e
,,,MarkupSafe:(cp27-cp27mu-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp27-cp27mu-manylinux1_x86_64:c6de75a9098634137994
,,,MarkupSafe:(cp34-cp34m-macosx_10_6_intel):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp34-cp34m-macosx_10_6_intel:affbc6cd2f80a2166a74
,,,MarkupSafe:(cp34-cp34m-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp34-cp34m-manylinux1_i686:9934343ab57f1710dbff
,,,MarkupSafe:(cp34-cp34m-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp34-cp34m-manylinux1_x86_64:7a4f333395d24113f6ca
,,,MarkupSafe:(cp34-cp34m-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp34-cp34m-win32:c554455afd77524e7c1b
,,,MarkupSafe:(cp34-cp34m-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp34-cp34m-win_amd64:49add875e1c7d38f3663
,,,MarkupSafe:(cp35-cp35m-macosx_10_6_intel):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp35-cp35m-macosx_10_6_intel:829ff860f11966cc1dbf
,,,MarkupSafe:(cp35-cp35m-manylinux1_i686):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp35-cp35m-manylinux1_i686:997345fda7682005dba2
,,,MarkupSafe:(cp35-cp35m-manylinux1_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp35-cp35m-manylinux1_x86_64:4ea3266c05c36ada279f
,,,MarkupSafe:(cp35-cp35m-win32):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp35-cp35m-win32:38d697718729a3a50b6b
,,,MarkupSafe:(cp35-cp35m-win_amd64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp35-cp35m-win_amd64:99629e2b74da7734dd9e
,,,MarkupSafe:(cp36-cp36m-macosx_10_6_intel):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-macosx_10_6_intel:3e69f3b4885686e57ee8
,,,MarkupSafe:(cp36-cp36m-macosx_10_9_x86_64):1.1.1:(.whl),,Tusimple-bom.xml/pkg:pypi\markupsafe@1.1.1?extension=whl&qualifier=cp36-cp36m-macosx_10_9_x86_64:007a24863f5a1fcd5593
